ano,salario_real_m1,rendimento_hora_m1,salario_real_m2,rendimento_hora_m2,diff_salario_real,diff_rendimento_hora,diff_salario_pct,diff_rendimento_pct
2012,98.325,101.05,100.0,100.0,-1.6749999999999972,1.0499999999999972,-1.6749999999999974,1.0499999999999972
2013,95.3,104.425,96.37266195551385,103.14188207564159,-1.0726619555138512,1.2831179243584074,-1.113035516243183,1.2440319088005414
2014,90.075,105.4,91.58687210233656,104.96016722089256,-1.5118721023365538,0.4398327791074479,-1.6507519774747095,0.4190473307667313
2015,82.25,104.975,78.96634456742017,101.04409729682627,3.2836554325798346,3.9309027031737287,4.158297374112719,3.890284349442346
2016,76.325,106.525,76.74497501001508,104.77816411752818,-0.4199750100150794,1.746835882471828,-0.5472345387568025,1.6671755009110742
2017,73.65,108.44999999999999,75.26751624318398,106.19905492163966,-1.617516243183971,2.2509450783603313,-2.1490230100829835,2.1195528340823935
2018,71.875,109.65,73.21937916066183,106.77297266316681,-1.3443791606618305,2.8770273368331942,-1.836097459542675,2.694527711529825
2019,70.44999999999999,111.6,71.57211362454619,109.14779253090283,-1.122113624546202,2.4522074690971607,-1.5678084210738814,2.246685354083429
2020,66.6,109.75,63.77713937479766,101.65659310564523,2.822860625202331,8.093406894354771,4.426132393008865,7.961516953399972
2021,64.125,112.475,60.652733326000494,106.48389231106812,3.4722666739995063,5.991107688931876,5.7248313201921635,5.626304184514817
2022,59.5,112.825,58.26464805022146,108.21395873600106,1.23535194977854,4.611041263998942,2.1202427048280166,4.26104110584111
2023,58.375,117.125,56.005939676329874,108.46348837980972,2.3690603236701264,8.661511620190282,4.230016204283733,7.985647289768163
2024,58.125,122.05,58.288407114414476,118.18527668786318,-0.16340711441447553,3.8647233121368174,-0.280342391401644,3.270054799079468
2025,57.6,125.83333333333333,57.056860654048535,120.8629871975809,0.5431393459514666,4.970346135752422,0.9519264462247058,4.112380680801098
